title,authors,first_publish_year,edition_count,publishers,isbn,subjects,description
Why Machines Learn,Anil Ananthaswamy,2024,4,,,Science,
The Time Machine,H. G. Wells,1895,1146,,,"Self-experimentation in medicine in fiction, Fiction, Time travel in fiction, Dystopias in fiction, Literature, Scientists, Classic Literature, Open Library Staff Picks, Scientists in fiction, Space warfare, Self-experimentation in medicine, open_syllabus_project, English Science fiction, Dystopias, Time travel, Science fiction, Animal experimentation in fiction, Juvenile fiction, Comic and Graphic Books, Animal experimentation, Space warfare in fiction, Graphic novels, Comics & Graphic Novels, General, FICTION / Classics, Movie novels, FICTION / Science Fiction / Time Travel, Science fiction time travel, Children's fiction, Time travel, fiction, British and irish fiction (fictional works by one author), Fiction, science fiction, general, Fiction, dystopian, Fiction, action & adventure, Literature and fiction, science fiction, Cartoons and comics, Space and time, fiction, Short stories, English fiction, Texts, Easy reading materials, Space and time, Child and youth fiction, Comics & graphic novels, science fiction, Comics & graphic novels, literary, English literature, Coloring books, Color, juvenile literature, Adaptations, Comic books, strips, Inventors, Imaginary wars and battles, Science-fiction, Romans, Voyages dans le temps, Romans, nouvelles, etc. pour la jeunesse, Fiction, historical, general, Dictionaries, English language, Spanish, German, French, Korean, Time machine (Wells, H. G.), Fantasy fiction, Fiction, psychological, Scientists, fiction, Romans, nouvelles, Dystopies, Viaje a través del tiempo, Novela, Ciencia-ficción, Distopías, Wells, h. g. (herbert george), 1866-1946, Fiction, general, Time travel -- Fiction, Space and time -- Fiction, Voyages dans le temps -- Romans, nouvelles, etc, Long Now Manual for Civilization","The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class. Wells's transparent commentary on the capitalist society was an instant bestseller and launched the time-travel genre."
Machine learning,"Kevin P. Murphy, Kevin P. Murphy",2012,4,,,"Probabilities, Machine learning, Probability, Apprentissage automatique, Probabilités, COMPUTERS, Enterprise Applications, Business Intelligence Tools, Intelligence (AI) & Semantics, Machine-learning, Q325.5 .m87 2012, 006.3/1","""This textbook offers a comprehensive and self-contained introduction to the field of machine learning, based on a unified, probabilistic approach. The coverage combines breadth and depth, offering necessary background material on such topics as probability, optimization, and linear algebra as well as discussion of recent developments in the field, including conditional random fields, L1 regularization, and deep learning. The book is written in an informal, accessible style, complete with pseudo-code for the most important algorithms. All topics are copiously illustrated with color images and worked examples drawn from such application domains as biology, text processing, computer vision, and robotics. Rather than providing a cookbook of different heuristic methods, the book stresses a principled model-based approach, often using the language of graphical models to specify models in a concise and intuitive way. Almost all the models described have been implemented in a MATLAB software package--PMTK (probabilistic modeling toolkit)--that is freely available online""--Back cover."
Introduction to Machine Learning with Python,"Andreas C. Mueller, Sarah Guido",2016,2,,,"Programming languages (Electronic computers), Python (Computer program language), Data mining, Machine learning, Python (computer program language), Data Mining, Apprentissage automatique, Python (Langage de programmation), Exploration de données (Informatique), COMPUTERS, Programming Languages, Python, Programming languages (electronic computers), Qa76.73.p98",
Machine learning,Ethem Alpaydin,2016,4,,,"Artificial intelligence, Machine learning, Nonfiction","A concise overview of machine learning -- computer programs that learn from data -- which underlies applications that include recommendation systems, face-recognition, and driverless cars."
Machine Learning System Design Interview,"Ali Aminian, Alex Xu",2023,1,,,,
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,2019,4,,,"machine learning, Mathematics","Through a series of recent breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data.

The updated edition of this best-selling book uses concrete examples, minimal theory, and two production-ready Python frameworks--Scikit-Learn and TensorFlow 2--to help you gain an intuitive understanding of the concepts and tools for building intelligent systems. Practitioners will learn a range of techniques that they can quickly put to use on the job. Part 1 employs Scikit-Learn to introduce fundamental machine learning tasks, such as simple linear regression. Part 2, which has been significantly updated, employs Keras and TensorFlow 2 to guide the reader through more advanced machine learning methods using deep neural networks. With exercises in each chapter to help you apply what you've learned, all you need is programming experience to get started.

NEW FOR THE SECOND EDITION: Updated all code to TensorFlow 2Introduced the high-level Keras APINew and expanded coverage including TensorFlow's Data API, Eager Execution, Estimators API, deploying on Google Cloud ML, handling time series, embeddings and more."
Introduction to machine learning,Ethem Alpaydin,2004,5,,,"Apprentissage automatique, Aprendizado computacional, Machine learning, Science, Computer engineering, Artificial intelligence, Nonfiction",
Machine Learning Proceedings 1995,Machine Learning,1995,2,,,,
Machine Learning,Mg Martin,2019,4,,,,
Machine Learning,Tom M. Mitchell,1997,2,,,"Computer algorithms, Machine learning, Artificial Intelligence, Algorithms, Algorithmes, Apprentissage automatique, Künstliche Intelligenz, Maschinelles Lernen, Machine-learning, Algoritmen, Intelligence artificielle, Apprentissage, Psychologie de l'",
